STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
19319,54015545,7.2,,7.5,7.5,,,,,,
19320,54015546,1.6,4.0,,,,4.0,6.25,7.75,3.8,N1
19321,54015547,,4.25,,,,4.0,6.75,,,
19322,54015548,8.0,,7.75,7.75,,,,,,
19323,54015549,,7.25,,,,6.25,8.5,,,
19324,54015550,,4.75,,,,7.5,7.75,,,
19325,54015551,8.4,,7.25,8.75,,,,,,
19326,54015552,5.6,6.0,3.5,5.25,5.0,,,,3.4,N1
19327,54015553,8.2,,,6.0,6.5,,,,,
19328,54015554,,1.75,,,,4.0,7.0,,,
19329,54015555,6.4,,4.25,4.75,,,,,,
19330,54015556,,4.5,,,,6.5,7.0,,,
19331,54015557,3.4,5.25,,,,,3.0,,,
19332,54015558,,7.5,,,,7.25,8.0,,,
19333,54015559,,7.75,,,,9.5,9.25,,,
19334,54015560,,7.5,,,,8.75,9.5,,,
19335,54015561,,3.0,,,,4.5,2.5,,,
19336,54015562,6.8,7.5,,,,,,,8.0,N4
19337,54015563,2.8,3.25,,,,3.75,2.75,4.5,3.2,N1
19338,54015564,6.8,,5.5,5.25,,,,,,
19339,54015565,,7.25,,,,7.0,6.75,,,
19340,54015566,,7.75,,,,9.75,8.5,,,
19341,54015567,,5.5,,,,4.75,7.25,,,
19342,54015568,,5.0,,,,5.0,5.5,,,
19343,54015569,,8.0,,,,7.75,8.0,,,
19344,54015570,,5.75,,,,5.25,7.0,,,
19345,54015571,,6.75,,,,6.0,4.75,,,
19346,54015572,2.8,,4.0,2.75,,,,,,
19347,54015573,,5.5,,,,,,7.25,,
19348,54015574,,5.25,,,,8.25,7.5,,,
19349,54015575,,7.0,,,,9.25,8.75,,,
19350,54015576,,2.0,,,,7.0,6.75,,,
19351,54015577,5.4,5.25,,,,,,,2.0,N1
19352,54015578,,4.0,,,,4.75,6.25,,,
19353,54015579,7.2,5.5,,,,6.25,,,,
19354,54015580,8.2,7.0,,,,9.0,,,,
19355,54015582,1.8,4.0,,,,4.25,5.5,,,
19356,54015583,,5.0,,,,6.5,7.5,,,
19357,54015584,,6.75,,,,9.75,9.0,,,
19358,54015585,7.6,,7.25,7.0,,,,,,
19359,54015586,,4.0,,,,7.25,8.0,,,
19360,54015587,,5.5,,,,3.75,6.0,,,
19361,54015588,,5.25,,,,5.0,6.25,,,
19362,54015589,,5.5,,,,5.75,7.75,,,
19363,54015590,,5.25,,,,7.25,6.5,8.5,,
19364,54015591,,7.0,,,,8.75,9.0,,,
19365,54015592,7.0,,4.25,,,,,,7.0,N1
19366,54015593,,6.0,,,,8.5,8.75,,,
19367,54015594,2.4,5.0,,,,2.75,4.0,4.5,2.0,N1
19368,54015595,7.8,,6.5,5.5,,,,,,
19369,54015596,,7.0,,,,4.0,9.0,9.5,,
19370,54015597,,4.5,,,,7.75,7.0,,,
19371,54015598,,7.25,,,,9.5,9.0,,,
19372,54015599,,5.25,,,,4.25,7.0,,,
19373,54015600,,4.0,,,,4.0,8.75,,,
19374,54015601,,5.5,,,,6.75,7.5,,,
19375,54015602,,7.75,,,,9.0,9.5,,,
19376,54015603,8.4,,6.25,4.75,,,,,,
19377,54015604,3.0,4.5,,,,1.75,3.25,,,
19378,54015605,,7.25,,,,4.75,7.0,9.25,,
19379,54015606,,7.75,,,,9.25,9.0,,,
19380,54015607,,5.5,,,,6.75,8.75,9.25,,
19381,54015608,,7.25,,,,7.5,8.5,,,
19382,54015609,,8.0,,,,7.0,8.75,,,
19383,54015610,,6.5,,,,8.0,7.25,,,
19384,54015611,,5.5,,,,5.75,7.5,,,
19385,54015612,3.6,6.25,,,,5.25,,,,
19386,54015613,,6.25,,,,6.75,8.0,,,
19387,54015614,,4.0,,,,7.0,7.5,,,
19388,54015616,2.0,2.5,1.5,1.75,4.25,,,,,
19389,54015617,,6.25,,,,4.75,6.5,8.5,,
19390,54015618,,6.25,,,,8.0,9.25,,,
19391,54015619,6.2,6.75,,,,7.25,,,,
19392,54015620,6.0,,,4.75,6.25,,,,,
19393,54015621,6.6,8.5,,,,,,,3.8,N1
19394,54015622,2.6,6.25,,,,2.0,4.0,,,
19395,54015623,,5.0,,,,2.75,3.75,,,
19396,54015624,,6.0,,,,6.25,8.25,,,
19397,54015626,1.4,3.0,,,,3.25,4.5,4.75,1.4,N1
19398,54015627,,7.5,,,,9.25,8.0,,,
19399,54015628,,6.5,,,,5.75,6.25,,,
19400,54015629,,6.0,,,,6.75,7.5,,,
19401,54015630,,6.75,,,,7.5,7.75,,,
19402,54015631,,5.5,,,,4.25,7.5,,,
19403,54015632,,5.0,,,,9.0,8.5,,,
19404,54015633,7.8,,7.25,6.75,,,,,,
19405,54015634,,3.5,,,,3.75,3.5,,,
19406,54015635,,5.25,,,,9.0,9.25,,,
19407,54015636,,5.0,,,,4.5,5.5,,,
19408,54015637,,5.5,,,,4.0,5.5,,,
19409,54015638,,7.0,,,,7.5,8.25,,,
19410,54015639,,8.0,,,,9.0,9.25,,,
19411,54015640,,5.75,,,,4.0,6.75,,,
19412,54015641,6.6,5.75,,,,8.5,,,,
19413,54015642,3.2,3.75,,,,4.25,4.25,6.5,2.4,N1
19414,54015643,7.8,7.0,,,,,9.5,8.5,,
19415,54015644,1.8,2.5,,,,5.5,6.0,,,
19416,54015645,,7.0,,,,8.25,8.0,,,
19417,54015646,,5.75,,,,5.75,,8.0,,
19418,54015647,2.4,4.0,,,,5.25,4.75,,,
19419,54015648,7.2,5.25,,,,4.5,,,,
19420,54015649,,4.25,,,,4.25,6.0,,,
19421,54015650,6.4,6.0,7.0,3.75,3.25,,,,3.4,N1
19422,54015651,,5.0,,,,5.0,6.75,,,
19423,54015652,,8.0,,,,8.25,9.0,,,
19424,54015653,,6.75,,,,8.5,9.75,,,
19425,54015654,7.6,,6.0,5.75,,,,,,
19426,54015655,,1.25,,,,0.25,0.0,,,
19427,54015656,8.6,,8.5,8.5,,,,,,
19428,54015657,,5.0,,,,5.75,7.0,,,
19429,54015658,,5.25,,,,4.75,7.0,,,
19430,54015659,6.6,6.0,,,,5.25,5.75,,4.2,N1
19431,54015660,5.6,7.0,,,,,,,4.2,N1
19432,54015661,5.0,5.0,,,,4.0,5.5,8.75,3.0,N1
19433,54015662,,7.25,,,,,8.25,9.25,,
19434,54015663,8.2,7.5,7.5,,,,,,6.6,N1
19435,54015664,,5.0,,,,3.75,5.25,,,
19436,54015665,7.2,7.5,,,,7.25,8.5,,6.6,N1
19437,54015666,7.0,,,9.0,8.75,,,,,
19438,54015667,,5.25,,,,8.0,5.5,,,
19439,55013318,8.0,,,7.75,8.0,,,,,
19440,55013319,4.0,,5.0,4.25,,,,,,
19441,55013320,,2.75,,,,5.0,6.25,,,
19442,55013321,7.4,8.0,,,,,,,8.2,N1
19443,55013322,8.4,,,7.75,8.25,,,,,
19444,55013323,,6.0,,,,8.75,8.75,,,
19445,55013324,7.6,,,6.25,7.5,,,,,
19446,55013325,6.2,7.5,,,,8.25,8.5,,4.0,N1
19447,55013326,6.8,9.0,,,,9.75,9.25,,9.4,N1
19448,55013327,,7.25,,,,9.75,9.5,,,
19449,55013328,,8.25,,,,9.25,9.75,,,
19450,55013330,6.6,,4.25,4.0,,,,,,
19451,55013331,8.6,,8.0,7.5,,,,,,
19452,55013332,,4.75,,,,9.25,9.0,,7.2,N1
19453,55013333,,4.5,,,,7.25,7.5,,,
19454,55013334,7.0,,7.0,4.5,,,,,,
19455,55013335,7.2,6.25,,,,9.0,8.25,,,
19456,55013336,,4.75,,,,3.0,6.0,,,
19457,55013338,,3.0,,,,2.5,6.25,,,
19458,55013339,3.2,,2.0,2.0,,,,,,
19459,55013340,2.6,,,2.25,3.25,,,,,
19460,55013341,,1.0,,,,3.0,2.75,,,
19461,55013342,,6.5,,,,8.25,9.25,,,
19462,55013343,8.0,,,8.0,8.75,,,,,
19463,55013344,,5.5,,,,4.25,6.75,,,
19464,55013345,6.4,,4.25,,,,,,6.0,N1
19465,55013346,6.6,6.0,,,,5.5,6.0,,,
19466,55013348,,6.5,,,,,7.75,9.0,,
19467,55013349,,6.0,,,,6.25,8.5,,,
19468,55013351,7.2,,,6.75,7.0,,,,,
19469,55013352,6.8,,,5.0,5.25,,,,,
19470,55013353,7.6,5.25,5.0,5.0,5.0,,,,,
19471,55013354,5.2,6.25,,,,3.75,8.0,,6.0,N1
19472,55013355,,2.25,,,,2.0,6.75,,,
19473,55013356,,5.75,,,,7.75,7.5,,,
19474,55013357,,6.5,,,,7.75,8.75,,,
19475,55013358,,6.5,,,,8.0,7.75,,,
19476,55013359,,4.5,,,,3.75,5.25,,,
19477,55013360,3.8,4.5,,,,4.75,6.5,,,
19478,55013361,8.0,,,9.75,8.5,,,,,
19479,55013362,,6.0,,,,7.5,7.5,,,
19480,55013363,4.8,,,4.5,5.75,,,,,
19481,55013364,8.4,,,9.0,9.5,,,,,
19482,55013365,9.0,,,9.0,8.75,,,,,
19483,55013366,6.0,,6.5,,,,,,6.4,N1
19484,55013367,,4.75,,,,3.25,7.0,,,
19485,55013368,,9.0,,,,8.75,9.75,,,
19486,55013370,,2.25,,,,5.75,6.5,,,
19487,55013371,,2.25,,,,5.25,8.5,,,
19488,55013372,,5.75,,,,7.5,7.75,,,
19489,55013373,,5.0,,,,4.5,7.5,,,
19490,55013374,,4.0,,,,6.25,7.75,,,
19491,55013376,,5.75,,,,8.75,9.0,,,
19492,55013377,,3.25,,,,3.75,6.0,,,
19493,55013378,,7.0,,,,5.5,8.0,,,
19494,55013380,,5.0,,,,4.5,5.0,,,
19495,55013381,,4.75,,,,5.25,6.5,,,
19496,55013382,6.0,6.75,,,,,5.25,,,
19497,55013383,6.8,6.75,,,,8.0,,,5.4,N1
19498,55013384,,8.0,,,,6.5,8.25,,,
19499,55013385,,6.5,,,,4.75,8.0,,,
19500,55013386,5.8,6.0,,,,6.75,8.25,,,
19501,55013387,,6.5,,,,7.25,7.75,,6.6,N1
19502,55013388,,2.5,,,,5.25,5.5,,,
19503,55013389,6.2,,3.75,,4.25,,,,,
19504,55013391,,6.0,,,,7.5,7.25,,,
19505,55013392,6.2,,,5.5,5.0,,,,,
19506,55013393,,4.25,,,,4.75,5.75,,,
19507,55013394,7.2,,7.25,,,,,,4.4,N1
19508,55013395,,7.0,,,,8.0,9.25,,,
19509,55013396,,6.0,,,,6.25,8.0,,,
19510,55013397,,7.5,,,,6.25,8.5,,,
19511,55013399,,5.75,,,,8.25,9.25,,,
19512,55013400,,6.5,,,,9.5,9.0,,,
19513,55013401,8.0,,,9.25,8.75,,,,,
19514,55013402,7.6,,7.25,8.0,,,,,,
19515,55013403,5.6,,2.25,2.0,,,,,,
19516,55013404,,7.0,,,,7.0,9.0,,,
19517,55013405,5.6,,6.5,3.75,,,,,,
19518,55013406,,4.25,,,,6.75,7.0,,,
19519,55013407,,3.25,,,,2.75,6.0,,,
19520,55013408,,3.75,,,,3.25,3.25,,,
19521,55013409,,5.0,,,,4.75,6.75,,,
19522,55013410,,5.75,,,,6.75,7.75,,,
19523,55013412,,7.0,,,,8.25,7.5,,,
19524,55013413,,4.75,,,,5.0,7.0,,,
19525,55013414,8.6,,6.5,7.0,,,,,,
19526,55013415,,6.75,,,,9.25,8.5,,,
19527,55013417,7.8,,,7.5,8.25,,,,,
19528,55013418,,6.0,,,,7.75,8.0,,,
19529,55013419,,5.25,,,,4.75,6.75,,,
19530,55013420,6.0,,,4.75,5.75,,,,,
19531,55013421,4.8,,,,,,,,,
19532,55013422,,3.0,,,,4.0,6.0,,,
19533,55013423,,5.0,,,,7.0,7.25,,,
19534,55013424,5.4,6.25,,,,5.25,6.75,,,
19535,55013425,,6.5,,,,7.25,9.0,,,
19536,55013426,6.0,6.25,,6.25,5.25,,,,5.0,N1
19537,55013428,,6.25,,,,5.75,7.75,,,
19538,55013429,,7.0,,,,8.75,8.75,,,
19539,55013430,,6.25,,,,8.5,9.75,,,
19540,55013431,,1.75,,,,4.0,6.5,,,
19541,55013432,,5.25,,,,4.75,5.5,,,
19542,55013433,,6.25,,,,5.5,8.0,,,
19543,55013434,,4.0,,,,4.5,6.0,,,
19544,55013435,,0.75,,,,3.0,2.25,,,
19545,55013436,,7.25,,,,8.25,8.75,,,
19546,55013437,6.8,6.75,,,,8.25,,,,
19547,55013438,,4.5,,,,3.5,4.5,,,
19548,55013439,,6.75,,,,6.75,8.0,,,
19549,55013441,,6.0,,,,6.75,6.5,,,
19550,55013442,7.4,,,,,,,,,
19551,55013443,,6.0,,,,4.0,7.75,,,
19552,55013444,,7.0,,,,7.25,8.0,,,
19553,55013445,,7.0,,,,7.5,7.75,,,
19554,55013446,,7.0,,,,9.5,8.75,,,
19555,55013447,,5.0,,,,2.25,6.0,,,
19556,55013449,,4.0,,,,5.5,8.5,,,
19557,55013450,,6.5,,,,8.25,8.25,,,
19558,55013451,,3.25,,,,5.5,4.75,,,
19559,55013452,6.8,,6.75,6.5,,,,,,
19560,55013453,4.4,5.5,3.75,,,,,,,
19561,55013454,,6.25,,,,6.25,8.0,,,
19562,55013455,8.4,,,8.5,9.5,,,,,
19563,55013456,,6.25,,,,7.25,9.0,,,
19564,55013457,7.2,,,6.25,5.5,,,,,
19565,55013458,,9.0,,,,9.25,9.75,,,
19566,55013459,,7.0,,,,5.5,8.0,,,
19567,55013460,7.4,,7.25,7.5,,,,,,
19568,55013461,,5.75,,,,4.0,6.75,,,
19569,55013462,7.8,6.0,,,,,,,,
19570,55013463,,7.0,,,,7.0,7.5,,,
19571,55013464,,7.0,,,,6.25,8.75,,,
19572,55013465,,7.5,,,,4.75,7.5,,,
19573,55013466,,8.0,,,,7.5,,9.5,,
19574,55013467,,7.75,,,,8.25,9.25,,,
19575,55013468,8.4,,,7.5,7.0,,,,,
19576,55013469,8.0,7.25,,,,,,,6.6,N1
19577,55013470,,2.75,,,,2.0,,5.0,3.8,N1
19578,55013471,7.8,,,7.5,8.0,,,,,
19579,55013472,,7.75,,,,8.75,9.0,,,
19580,55013473,8.0,,,7.25,8.25,,,,,
19581,55013474,,6.5,,,,6.0,7.5,,,
19582,55013475,,3.75,,,,4.75,6.0,,,
19583,55013476,,6.0,,,,6.0,6.25,,,
19584,55013477,,4.0,,,,7.75,7.0,,,
19585,55013478,8.2,6.5,,,,,,,4.6,N1
19586,55013479,7.8,8.25,,,,,,,,
19587,55013480,7.2,,4.25,6.5,,,,,,
19588,55013481,,5.75,,,,6.25,8.0,,,
19589,55013482,7.8,7.25,6.25,,,,,,8.0,N1
19590,55013483,7.2,,8.5,7.75,,,,,,
19591,55013484,,4.5,,,,6.75,8.25,,,
19592,55013485,8.6,,6.75,,,,,,5.4,N1
19593,55013486,,5.75,,,,5.5,8.0,,,
19594,55013487,,5.0,,,,7.0,7.75,,,
19595,55013488,,5.5,,,,7.0,7.75,,,
19596,55013489,,6.0,,,,8.0,8.25,,,
19597,55013490,7.6,,,7.5,7.75,,,,,
19598,55013491,,3.5,,,,4.25,6.25,,,
19599,55013492,,6.5,,,,9.0,9.75,,,
19600,55013493,,2.25,,,,5.25,7.5,,,
19601,55013494,9.0,,,9.25,9.25,,,,,
19602,55013495,,6.75,,,,7.75,8.5,,,
19603,55013496,8.2,,8.0,7.5,,,,,,
19604,55013497,,5.5,,,,4.0,6.75,,,
19605,55013498,7.6,8.0,,,,,,,6.0,N1
19606,55013499,,6.75,,,,4.75,7.25,,,
19607,55013500,,6.25,,,,8.0,9.25,,,
19608,55013501,,6.5,,,,6.5,9.25,,,
19609,55013502,8.6,,8.0,,,,,,7.2,N1
19610,55013503,,4.25,,,,7.75,8.75,,,
19611,55013504,7.0,,5.75,5.0,,,,,,
19612,55013505,,5.75,,,,8.5,9.75,,,
19613,55013506,7.2,,5.75,7.0,,,,,4.8,N1
19614,55013507,,7.75,,,,5.5,7.75,,,
19615,55013508,,6.5,,,,6.0,7.25,,,
19616,55013509,,6.75,,,,6.5,7.5,,,
19617,55013510,7.2,,5.75,2.0,,,,,,
19618,55013511,,9.0,,,,9.75,9.5,,6.8,N1
19619,55013512,,7.0,,,,,,,,
19620,55013513,7.6,,8.5,8.5,,,,,,
19621,55013514,,4.75,,,,6.25,7.5,,,
19622,55013515,,2.75,,,,6.25,6.25,,,
19623,55013516,7.8,,,5.75,7.25,,,,,
19624,55013517,8.0,,,8.25,7.25,,,,,
19625,55013518,2.2,3.0,,,,4.25,4.0,,,
19626,55013519,,5.75,,,,7.5,9.0,,,
19627,55013520,,5.75,,,,6.0,8.5,,,
19628,55013521,,6.5,,,,7.75,9.0,,,
19629,55013522,7.2,6.5,7.75,,,,,,,
19630,55013523,,1.75,,,,4.0,6.5,,,
19631,55013524,,6.75,,,,6.75,9.0,,,
19632,55013525,,8.0,,,,9.75,8.75,,9.0,N1
19633,55013526,8.4,,,,,,10.0,,7.4,N1
19634,55013527,7.4,,7.0,7.25,,,,,,
19635,55013528,,5.0,,,,3.5,5.5,,,
19636,55013529,,3.25,,,,4.25,7.0,,,
19637,55013530,,6.25,,,,9.25,9.75,,,
19638,55013531,,6.0,,,,7.5,8.0,,,
19639,55013532,,6.75,,,,8.75,9.25,,,
19640,55013533,,7.0,,,,8.25,9.0,,,
19641,55013534,,4.0,,,,8.0,8.0,,,
19642,55013535,,5.25,,,,4.0,5.75,,,
19643,55013536,7.6,9.5,,,,,,,8.0,N1
19644,55013538,,6.25,,,,6.25,8.25,,,
19645,55013539,,4.5,,,,4.25,6.5,,,
19646,55013540,8.0,,7.75,8.5,,,,,,
19647,55013541,,6.0,,,,9.0,9.5,,,
19648,55013542,,2.0,,,,3.75,6.75,,,
19649,55013543,,7.0,,,,9.25,9.25,,,
19650,55013544,,7.0,,,,8.0,7.5,,,
19651,55013546,,6.25,,,,8.75,8.0,,,
19652,55013547,,7.25,,,,8.25,8.5,,,
19653,55013548,,5.75,,,,9.75,,9.25,,
19654,55013549,,4.5,,,,6.0,6.5,,,
19655,55013550,8.6,,,7.75,8.5,,,,,
19656,55013551,6.6,,,4.25,6.75,,,,,
19657,55013552,,6.75,,,,7.25,9.0,,,
19658,55013553,6.2,7.75,,,,,,,4.6,N1
19659,55013554,,9.25,,,,9.0,8.75,,6.0,N1
19660,55013555,,6.5,,,,8.0,9.25,,,
19661,55013557,,7.5,,,,8.75,9.0,,,
19662,55013558,,7.0,,,,7.25,7.25,,,
19663,55013559,4.2,4.5,,,,6.0,4.0,,,
19664,55013561,,4.0,,,,,7.75,7.75,8.8,N1
19665,55013562,7.0,1.5,,,,3.25,4.5,,,
19666,55013563,,4.5,,,,3.5,5.5,,,
19667,55013564,,4.5,,,,5.5,6.25,,,
19668,55013565,,3.75,,,,5.75,6.25,,,
19669,55013566,7.6,,,9.25,8.0,,,,,
19670,55013567,6.2,5.75,,,,,,,6.8,N1
19671,55013568,7.6,,,8.5,8.0,,,,,
19672,55013569,8.0,8.0,,,,,,,7.0,N1
19673,55013570,,4.5,,,,5.5,8.0,,,
19674,55013571,,6.5,,,,7.25,8.0,,,
19675,55013572,8.6,,7.5,,,,,,7.4,N1
19676,55013573,,7.5,,,,9.0,9.25,,,
19677,55013574,7.4,8.25,,,,,,,7.4,N1
19678,55013575,,5.0,,,,7.0,8.0,,,
19679,55013576,4.4,3.5,,,,3.25,5.75,,,
19680,55013577,,5.75,,,,6.5,8.25,,,
19681,55013578,,3.0,,,,3.25,5.5,,,
19682,55013579,,4.25,,,,2.75,6.75,,,
19683,55013580,,4.5,,,,6.0,7.0,,,
19684,55013581,5.6,,,3.75,4.5,,,,,
19685,55013583,,5.5,,,,6.5,5.25,,,
19686,55013584,,4.25,,,,6.75,7.75,,,
19687,55013585,6.6,4.75,,,,5.5,7.75,,,
19688,55013586,,5.5,,,,7.25,7.75,,,
19689,55013587,5.6,,,3.75,6.0,,,,,
19690,55013588,,5.5,,,,4.5,7.25,,,
19691,55013589,,5.5,,,,7.25,7.25,,,
19692,55013590,7.4,,8.25,4.75,,,,,,
19693,55013591,6.2,,,7.0,6.75,,,,,
19694,55013592,8.4,,,6.5,6.25,,,,,
19695,55013593,6.8,,,6.25,5.0,,,,,
19696,55013594,7.6,,,7.5,7.25,,,,,
19697,55013595,3.0,,,2.75,4.75,,,,,
19698,55013597,,5.5,,,,6.5,7.5,,,
19699,55013598,,5.75,,,,5.75,6.5,,,
19700,55013600,8.0,,6.5,,,,,,6.8,N1
19701,55013601,5.8,6.75,,,,,,,,
19702,55013602,,6.5,,,,7.0,7.0,,,
19703,55013603,6.8,5.75,,,,,,,,
19704,55013604,4.4,4.5,,,,4.0,5.75,,,
19705,55013605,,8.75,,,,8.75,9.0,,,
19706,55013606,7.0,,,7.0,7.0,,,,,
19707,55013607,,6.75,,,,3.5,6.75,,,
19708,55013608,,5.5,,,,6.25,7.75,,,
19709,55013609,7.8,,7.75,7.75,,,,,,
19710,55013610,,6.25,,,,6.5,8.0,,,
19711,55013611,8.8,,7.25,,,,,,7.4,N1
19712,55013612,8.0,5.25,7.5,7.5,,,,,,
19713,55013613,,6.5,,,,6.5,7.75,,,
19714,55013614,,7.25,,,,7.5,8.0,,,
19715,55013615,8.8,8.5,8.25,,,,,,,
19716,55013616,,6.25,,,,9.5,9.5,,,
19717,55013617,,7.5,,,,9.75,9.0,,,
19718,55013618,,6.5,,,,7.0,8.25,,,
19719,55013619,,7.25,,,,9.5,9.75,,,
19720,55013620,4.8,,2.25,4.0,,,,,,
19721,55013621,,3.0,,,,5.0,6.25,,,
19722,55013622,4.2,,,4.0,5.75,,,,,
19723,55013623,,4.75,,,,5.25,7.75,,,
19724,55013624,,5.5,,,,6.0,8.5,,,
19725,55013625,,5.5,,,,6.5,8.75,,,
19726,55013626,8.0,,5.5,5.5,,,,,,
19727,55013627,8.2,,,7.0,8.25,,,,8.0,N1
19728,55013628,8.0,,7.75,,,,,,7.8,N1
19729,55013629,,5.75,,,,9.0,8.0,,,
19730,55013630,,5.75,,,,6.75,7.5,,,
19731,55013632,,7.0,,,,,,,8.8,N1
19732,55013633,,4.0,,,,6.0,7.0,,,
19733,55013634,6.2,7.0,,,,9.5,8.0,,4.6,N1
19734,55013635,,4.0,,,,3.75,5.75,,,
19735,55013637,,5.5,,,,6.5,8.25,,,
19736,55013638,6.0,,4.0,,,,,,5.4,N1
19737,55013639,8.0,,,,,,,,,
19738,55013640,6.4,,5.25,,,,,,5.4,N1
19739,55013641,8.6,,,7.5,6.25,,,,,
19740,55013642,8.8,,,7.0,6.75,,,,,
19741,55013643,,6.25,,,,7.5,8.0,,,
19742,55013644,8.2,8.0,,,,9.25,,,,
19743,55013645,,8.5,,,,8.5,9.5,,,
19744,55013646,,6.5,,,,5.5,6.25,,,
19745,55013647,,5.75,,,,6.0,7.25,,,
19746,55013648,,5.0,,,,6.25,7.0,,,
19747,55013650,,3.5,,,,,,,,
19748,55013651,3.2,5.0,,,,4.0,,,,
19749,55013652,,7.5,,,,8.25,9.0,,,
19750,55013653,,7.0,,,,5.5,7.0,,,
19751,55013654,,6.0,,,,8.0,9.25,,,
19752,55013655,,4.5,,,,6.5,7.0,,,
19753,55013656,,8.0,,,,5.25,8.5,,,
19754,55013657,,3.0,,,,5.5,6.75,,,
19755,55013659,,7.0,,,,9.5,9.5,,,
19756,55013660,,7.25,,,,8.25,9.25,,,
19757,55013662,6.4,,,6.75,8.25,,,,,
19758,55013663,8.6,,,6.75,8.5,,,,,
19759,55013664,,4.5,,,,,8.75,7.75,,
19760,55013666,,5.75,,,,4.5,6.75,,,
19761,55013667,3.8,5.5,,,,6.25,,,,
19762,55013669,7.8,,6.75,6.75,,,,,,
19763,55013670,2.6,2.5,,,,3.25,3.25,,,
19764,55013671,,7.0,,,,7.5,7.5,,,
19765,55013672,6.4,5.5,,,,8.0,5.75,,,
19766,55013673,7.6,,6.5,,,,,,6.2,N1
19767,55013674,,3.75,,,,5.75,6.0,,,
19768,55013677,,5.5,,,,8.5,9.25,,,
19769,55013678,,5.5,,,,5.5,6.25,,,
19770,55013679,,3.5,,,,6.75,8.25,,,
19771,55013680,,7.75,,,,8.25,9.0,,,
19772,55013681,7.8,,,9.25,9.25,,,,,
19773,55013683,,5.25,,,,5.75,8.25,,,
19774,55013684,,7.0,,,,7.25,8.0,,,
19775,55013685,,5.75,,,,6.75,8.75,,,
19776,55013686,8.2,,,6.75,7.5,,,,,
19777,55013687,7.6,5.0,,,,8.0,,,,
19778,55013688,,8.25,,,,8.5,9.25,,,
19779,55013689,,4.25,,,,7.0,6.5,,,
19780,55013690,6.2,,6.5,4.75,,,,,,
19781,55013691,6.0,,,6.25,7.75,,,,,
19782,55013692,,6.75,,,,7.5,8.0,,,
19783,55013693,,6.75,,,,8.75,8.5,,,
19784,55013694,,3.0,,,,4.75,5.25,,,
19785,55013696,,7.5,,,,7.0,7.25,,,
19786,55013697,7.2,,,,7.0,,,,,
19787,55013698,5.8,6.25,,,,,,,2.4,N1
19788,55013699,7.8,,,7.25,7.5,,,,,
19789,55013701,4.8,1.75,,,,3.5,6.0,,,
19790,55013702,,4.5,,,,8.25,7.25,,,
19791,55013705,2.2,6.5,,,,5.0,7.0,,2.4,N1
19792,55013706,7.6,,,6.25,5.25,,,,,
19793,55013708,,5.25,,,,6.0,4.5,,,
19794,55013709,,4.5,,,,4.75,6.75,,,
19795,55013710,6.6,5.5,,,,6.75,7.25,,,
19796,55013711,,5.0,,,,7.25,8.25,,,
19797,55013712,,3.0,,,,8.0,7.0,,4.2,N1
19798,55013713,,6.25,,,,,8.75,9.75,,
19799,55013714,,6.25,,,,6.0,7.25,,,
19800,55013715,,6.25,,,,6.25,9.0,,,
19801,55013716,6.4,5.25,,,,,,,4.2,N1
19802,55013717,,8.25,,,,8.25,8.75,,,
19803,55013718,7.4,,,8.0,8.5,,,,,
19804,55013719,1.8,3.25,,,,,3.5,,,
19805,55013720,7.4,8.0,,,,,,,5.4,N1
19806,55013721,5.8,,,4.5,7.0,,,,,
19807,55013722,,7.5,,,,,,,,
19808,55013723,,7.0,,,,8.0,8.75,,,
19809,55013724,6.8,2.0,,,,,9.0,9.0,3.8,N1
19810,55013725,,4.25,,,,3.5,6.5,,,
19811,55013726,,8.25,,,,6.25,8.75,,,
19812,55013727,,7.5,,,,8.5,9.25,,,
19813,55013728,,4.75,,,,7.0,8.75,,,
19814,55013729,3.2,,3.25,2.25,,,,,,
19815,55013730,,9.0,,,,9.5,9.75,,,
19816,55013731,4.0,4.25,,,,4.25,6.25,7.75,2.2,N1
19817,55013732,,5.5,,,,8.5,,9.25,,
19818,55013733,,3.5,,,,4.25,7.75,,,
19819,55013734,2.4,1.75,,,,2.25,5.25,,,
19820,55013735,,3.75,,,,5.0,5.0,,,
19821,55013736,7.8,,8.0,8.25,,,,,,
19822,55013737,,4.5,,,,4.5,6.5,,,
19823,55013738,,5.0,,,,6.5,8.0,,,
19824,55013739,,6.5,,,,8.0,8.0,,,
19825,55013740,7.0,7.25,,,,7.5,,7.75,4.0,N1
19826,55013741,8.0,,8.5,7.5,,,,,,
19827,55013742,5.4,,3.25,3.75,,,,,,
19828,55013743,,7.0,,,,5.0,7.25,,,
19829,55013744,8.2,,,9.0,,,,,8.2,N1
19830,55013745,,6.75,,,,8.5,9.5,,,
19831,55013746,2.4,2.75,,,,2.0,6.5,7.25,2.4,N1
19832,55013747,,5.0,,,,4.0,7.5,,,
19833,55013748,3.4,4.5,,,,6.75,6.25,8.0,2.4,N1
19834,55013749,,4.75,,,,6.0,7.25,,,
19835,55013750,,7.0,,,,7.5,,9.0,,
19836,55013751,5.4,5.0,,,,7.0,6.5,7.25,3.6,N1
19837,55013752,8.2,,,8.5,8.25,,,,,
19838,55013753,5.8,,6.25,3.75,,,,,,
